datetime,load_kg
2021-01-01T01:00:00-08:00,13001.4
2021-01-01T01:01:00-08:00,13001.6
2021-01-01T01:02:00-08:00,13001.666666666666
2021-01-01T01:03:00-08:00,NaN
2021-01-01T01:04:00-08:00,NaN
2021-01-01T01:05:00-08:00,NaN
2021-01-01T01:06:00-08:00,13002.75
2021-01-01T01:07:00-08:00,13003.5
2021-01-01T01:08:00-08:00,13003.8
2021-01-01T01:09:00-08:00,13003.5
2021-01-01T01:10:00-08:00,13002.75
2021-01-01T01:11:00-08:00,13002
2021-01-01T01:12:00-08:00,13002
2021-01-01T01:13:00-08:00,NaN
